NAMA,LATITUDE,LONGITUDE,KETERANGAN,ALAMAT,TELEFON,FAX,EMAIL,WEBSITE,FACEBOOK,LINKEDIN,TWITTER,BLOGSPOT,FLICKR,RSS,YOUTUBE
Jabatan Kebajikan Masyarakat Negeri Selangor,3.074679,101.517914,Jabatan Kebajikan Masyarakat Negeri Selangor,"Jabatan Kebajikan Masyarakat Negeri Selangor Tingkat 2, Bangunan Darul Ehsan No.3, Jalan Indah, Seksyen 14 40000 Shah Alam, Selangor",0355101400,0355190232,jkm@selangor.gov.my,http://www.jkmselangor.gov.my/,,,,,,,
Jabatan Kebajikan Masyarakat Negeri Sembilan,2.718581,101.948982,Jabatan Kebajikan Masyarakat Negeri Sembilan,"Tingkat 1, Blok B, Wisma Negeri, Jalan Dato' Abdul Malek, 70503 Seremban, Negeri Sembilan, Malaysia.",606-765 9555,606-762 9541,jkmns1@ns.gov.my,http://jkmns.ns.gov.my/,,,,,,,
Jabatan Kebajikan Masyarakat Negeri Terengganu,5.329558,103.14164140000003,Jabatan Kebajikan Masyarakat Negeri Terengganu,"Tingkat 1, Wisma Negeri, Jalan Pejabat, 20564 Kuala Terengganu, Terengganu Darul Iman.",09-627 4251,09-627 4251,jkm@terengganu.gov.my,http://jkm.terengganu.gov.my/,,,,,,,
Jabatan Kebudayaan Dan Kesenian Negara,3.152008,101.709274,Jabatan Kebudayaan Dan Kesenian Negara,"Jabatan Kebudayaan dan Kesenian Negara, Kementerian Penerangan Komunikasi dan Kebudayaan, Tingat 21 - 34, Bangunan MAS, Jalan Sultan Ismail, 50250 Kuala Lumpur",03-2614 8200,03-2697 0884,info@jkkn.gov.my,http://www.jkkn.gov.my/,,,,,,,
Jabatan Kehakiman Syariah Kedah,6.119359,100.36769000000004,Jabatan Kehakiman Syariah Kedah,"Aras 2,Bangunan Mahkamah Syariah, Pusat Pentadbiran Kerajaan Persekutuan, Bandar Muadzam Shah, 06550 Alor Setar, Kedah Darul Aman.",604-700 1980,604-700 1989,-,http://www.kedah.gov.my/infojabatan/syariah/,,,,,,,
Jabatan Kehakiman Syariah Malaysia,2.938219,101.703626,Jabatan Kehakiman Syariah Malaysia,"Jabatan Kehakiman Syariah Malaysia, Aras 2-4,Blok D7,Kompleks D, Pusat Pentadbiran Kerajaan Persekutuan, 62677 Putrajaya, Malaysia.",603 - 8886 4800,603 - 8889 1627,portaladmin@esyariah.gov.my,http://www.jksm.gov.my/,,,,,,,
Jabatan Kehakiman Syariah Negeri Johor,1.457213,103.747601,Jabatan Kehakiman Syariah Negeri Johor,"Jabatan Kehakiman Syariah Negeri Johor, Lot 259, Jalan Abu Bakar, 80100 Johor Bahru, Johor.",07-219 9000,07-221 3133,tadbirsyariah@johor.gov.my,http://syariah.johordt.gov.my/,http://www.facebook.com/#!/pages/Jabatan-Kehakiman-Syariah-Negeri-Johor/191890997517945,,http://twitter.com/#!/jksnj,,,,
Jabatan Kehakiman Syariah Negeri Kelantan,6.122012,102.252269,Jabatan Kehakiman Syariah Negeri Kelantan,"Kompleks Mahkamah Syariah, Bandar Baru Tunjung, Jalan Pasir Mas – Salor, 15518 Kota Bharu, Kelantan",609-748 2206,609-743 0476,jksnkn@kelantan.gov.my,http://www.jksn.kelantan.gov.my,,,,,,,
Jabatan Kehakiman Syariah Negeri Pahang,3.824973,103.32389990000001,Jabatan Kehakiman Syariah Negeri Pahang,"Jabatan Kehakiman Syariah Pahang, Jalan Masjid, 25000 Kuantan, Pahang.",09-517 7966,09-513 4805,jksp@esyariah.gov.my,http://pahang.jksm.gov.my/jksp/,,,,,,,
Jabatan Kehakiman Syariah Negeri Perak,4.61106,101.073577,Jabatan Kehakiman Syariah Negeri Perak,"Jabatan Kehakiman Syariah Perak, Aras 3, Kompleks Mahkamah Syariah Perak, Jalan Pari Off Jalan Tun Abdul Razak, 30100 Ipoh, Perak.",05-501 8400,05-501 8522,projkspk@esyariah.gov.my / aduanjkspk@gmail.com,http://syariah.perak.gov.my/,,,,,,,
Jabatan Kehakiman Syariah Negeri Pulau Pinang,5.413533999999999,100.29823399999998,Jabatan Kehakiman Syariah Negeri Pulau Pinang,"Jabatan Kehakiman Syariah Negeri Pulau Pinang, No. 3, Jalan Batu Gantung, 10450 George Town, Pulau Pinang.",04-828 2727,04-829 6427,jksnpp@esyariah.gov.my,http://www.jksnpp.gov.my/JKSNPP1/,,,,,,,
Jabatan Kehakiman Syariah Negeri Sabah,5.976474,116.11577699999998,Jabatan Kehakiman Syariah Negeri Sabah,"Jabatan Kehakiman Syariah Negeri Sabah, Tingkat 2, Blok B, Bangunan Wisma MUIS, Beg Berkunci 130, 88734 Kota Kinabalu, Sabah.",088-253 579,088-263 475,webmasterjksns@esyariah.gov.my,http://www.jksm.gov.my/jksns/,,,,,,,
Jabatan Kehakiman Syariah Negeri Sarawak,1.553379,110.33411799999999,Jabatan Kehakiman Syariah Negeri Sarawak,"Jabatan Kehakiman Syariah Anjung Kanan, Bangunan Mahkamah Syariah, Jalan Satok, 93400 Kuching, Sarawak.",082 429 810,082 244 576,mohammaz@sarawak.gov.my,http://www.syariah.sarawak.gov.my/,,,,,,,
Jabatan Kehakiman Syariah Negeri Selangor,3.083148,101.512179,Jabatan Kehakiman Syariah Negeri Selangor,"Jabatan Kehakiman Syariah Negeri Selangor, Bangunan Mahkamah Syariah Sultan Idris Shah, Persiaran Masjid, Seksyen 5, 40000 Shah Alam, Selangor.",03-5519 1291,03-5510 5620,info@jakess.gov.my,http://www.jakess.gov.my/,,,,,,,
Jabatan Kehakiman Syariah Negeri Sembilan,2.722896,101.943357,Jabatan Kehakiman Syariah Negeri Sembilan,"Kompleks Kehakiman Syariah Negeri Sembilan, 1054A, Jalan Sendayan, 71950 Bandar Sri Sendayan, Negeri Sembilan.",606-7812444 / 06-7812555,606-7812424,jksnns@esyariah.gov.my,http://jksns.ns.gov.my/,https://www.facebook.com/JKSN9,,,,,,
Jabatan Kehakiman Syariah Negeri Terengganu,5.3116406,103.13407039999993,Jabatan Kehakiman Syariah Negeri Terengganu,"Jabatan Kehakiman Syariah Negeri Terengganu, Aras 5, Bangunan Mahkamah Syariah, Jalan Sultan Mohamad, 21100 Kuala Terengganu, Terengganu.",09-623 2323,09-624 1510,webmastertrg@esyariah.gov.my,http://syariah.terengganu.gov.my/,,,,,,,
Jabatan Kemajuan Islam Malaysia (JAKIM),2.938251,101.703668,Jabatan Kemajuan Islam Malaysia (JAKIM),"Aras 4-9 Blok D7, Kompleks D, Pusat Pentadbiran Kerajaan Persekutuan, 62519, W.P Putrajaya.",03-8886 4000,03-8889 2039,webmaster@islam.gov.my,http://www.islam.gov.my/,,,,,,,http://www.youtube.com/user/tvjakim
Jabatan Kemajuan Masyarakat (KEMAS),2.9045,101.681497,Jabatan Kemajuan Masyarakat (KEMAS),"Aras 5-9, No.47, Persiaran Perdana, Presint 4 Pusat Pentadbiran Kerajaan Persekutuan, 62100 Putrajaya, Wilayah Persekutuan Putrajaya.",03-8891 2000,03-8888 2312,info@kemas.gov.my,http://www.kemas.gov.my,https://www.facebook.com/jabatankemajuankemas,,,,,http://www.kemas.gov.my/web/guest/berita1/-/journal/rss/37371?doAsGroupId=10157&refererPlid=22296&_15_groupId=10157,http://www.youtube.com/user/KEMASMALAYSIA?
Jabatan Kemajuan Orang Asli (JAKOA),3.159469,101.708778,Jabatan Kemajuan Orang Asli (JAKOA),"Tingkat 3,4,10, 20 & 20 M, West Block, Wisma Selangor Dredging, Jalan Ampang, 50450 Kuala Lumpur.",03-2161 0577,03-2162 1470,webmaster@jakoa.gov.my,http://www.jakoa.gov.my,,,,,,,
Jabatan Kerajaan Tempatan,2.902839,101.681449,Jabatan Kerajaan Tempatan,"Jabatan Kerajaan Tempatan, Aras 25-29, No. 51, Persiaran Perdana, Presint 4, 62100 Putrajaya.",03-8891 5000,03-8891 3090,jkt@kpkt.gov.my,http://jkt@kpkt.gov.my,https://www.facebook.com/pages/Jabatan-Kerajaan-Tempatan-JKT/110007262356270,,,http://foursquare.com/venue/27103338,,,http://www.youtube.com/user/jktkpkt
Jabatan Keretapi Negeri Sabah,5.976474,116.11577699999998,Jabatan Keretapi Negeri Sabah,"Jabatan Keretapi Negeri Sabah, Beg Berkunci 2047, 88999 Kota Kinabalu, Sabah, Malaysia",6088-254611,6088-236395,"",http://www.railway.sabah.gov.my/,https://www.facebook.com/SabahStateRailway,,,,,railway.sabah.gov.my/index.php/feed/,
Jabatan Kerja Raya Malaysia (JKR),3.154743,101.688518,Jabatan Kerja Raya Malaysia (JKR),"Jabatan Kerja Raya Malaysia, Ibu Pejabat JKR, Jalan Sultan Salahuddin, 50582 Wilayah Persekutuan Kuala Lumpur.",03-2610 8888,03-2698 8187,komunikasi@jkr.gov.my,http://www.jkr.gov.my/,https://www.facebook.com/pages/Kementerian-Kerja-Raya-Malaysia/198778766828314,,https://twitter.com/@MOWorks,,,,http://www.youtube.com/channel/UC64iwOgaF9R_XC8xR9Cm3pA
Jabatan Kerja Raya Negeri Johor,1.501371,103.64386,Jabatan Kerja Raya Negeri Johor,"Tingkat 4, Bangunan Dato' Abdul Rahman Andak Kota Iskandar, 79582 Nusajaya, Johor.",07-266 6987/88,07-266 1623/24,johor@jkrjohor.gpv.my,http://jkr.johor.gov.my/,http://www.facebook.com/pages/JKR-JOHOR/174773362571904?ref=ts,,http://twitter.com/JKR_JOHOR,,,,
Jabatan Kerja Raya Negeri Kedah,6.119359,100.36769000000004,Jabatan Kerja Raya Negeri Kedah,"Jabatan Kerja Raya Negeri Kedah Darul Aman, Tingkat 5, Bangunan Sultan Abdul Halim, Jalan Sultan Badlishah, 05582 Alor Star, Kedah.",04-733 4041,04-733 1535,jkr@kedah.gov.my,http://www.jkrkedah.gov.my/,,,,,,,
Jabatan Kerja Raya Negeri Kelantan,6.069688,102.248485,Jabatan Kerja Raya Negeri Kelantan,"JKR Negeri Kelantan, Jalan Kuala Krai, 15050 Kota Bharu, Kelantan.",09-745 5800,09-744 7877,jkrkltn@jkr.gov.my,http://kelantan.jkr.gov.my/,,,,,,,
Jabatan Kerja Raya Negeri Melaka,2.211786,102.25542799999994,Jabatan Kerja Raya Negeri Melaka,"Jalan Taming Sari, Peti Surat 96, 75906 Melaka",606-285 4600,606-284 7792,ganesan@jkr.gov.my,-,,,,,,,
Jabatan Kerja Raya Negeri Pahang,3.824973,103.32389990000001,Jabatan Kerja Raya Negeri Pahang,"Tingkat 9 - 12, Kompleks Tun Razak, Bandar Indera Mahkota, 25582 Kuantan, Pahang Darul Makmur.",09-571 7000,09-573 2837,mustafa@pahang.gov.my,http://jkr.pahang.gov.my/,,,,,,,
Jabatan Kerja Raya Negeri Perak,4.601839,101.07655499999998,Jabatan Kerja Raya Negeri Perak,"Jabatan Kerja Raya Negeri Perak Darul Ridzuan, Jalan Panglima Bukit Gantang Wahab, 30000 Ipoh, Perak.",05-253 4041,05-241 5328,administration@jkrperak.gov.my,http://www.jkrperak.gov.my/,,,,,,,
Jabatan Kerja Raya Negeri Pulau Pinang,5.4142008,100.32961690000002,Jabatan Kerja Raya Negeri Pulau Pinang,"Pejabat Pengarah Jabatan Kerja Raya Pulau Pinang, Tingkat 18 & 19, KOMTAR, 10000 Pulau Pinang.",04-261 6653,04-261 4707,JKRPenang@jkr.gov.my,http://ppinang.jkr.gov.my,,,,,,,
Jabatan Kerja Raya Negeri Sabah,5.961587,116.06449299999997,Jabatan Kerja Raya Negeri Sabah,"Jabatan Kerja Raya, Beg Berkunci 2032, Jalan Sembulan, 88582 Kota Kinabalu, Sabah.",088-244 333,088-237 234,pos@jkr.sabah.gov.my,http://www.jkr.sabah.gov.my/,,,,,,,
Jabatan Kerja Raya Negeri Sarawak,1.547829,110.34156400000006,Jabatan Kerja Raya Negeri Sarawak,"15th Floor, Wisma Saberkas, Tun Abg Hj Openg Road, 93582 Kuching, Sarawak.",082-203 100,082-251 908,corporatejkr@gmail.com,http://www.jkr.sarawak.gov.my/,,,,,,,
Jabatan Kerja Raya Negeri Selangor,3.08317,101.51211,Jabatan Kerja Raya Negeri Selangor,"Jabatan Kerja Raya Negeri Selangor Darul Ehsan, Tingkat 1, Bangunan Sultan Salahuddin Abdul Aziz Shah, 40582 Shah Alam, Selangor.",03-5544 7692,03-5510 4761,-,http://selangor.jkr.gov.my/,,,,,,,
Jabatan Kerja Raya Negeri Sembilan,2.7259413,101.94220659999996,Jabatan Kerja Raya Negeri Sembilan,"Jabatan Kerja Raya Negeri Sembilan, Tingkat 2, Blok A, Wisma Negeri, 70990 Seremban, Negeri Sembilan.",06-765 9601,06-763 5644,jkrnsembilan90@gmail.com,http://jkrns.ns.gov.my/,,,,,,,
Jabatan Kerja Raya Negeri Terengganu,5.329558,103.14164140000003,Jabatan Kerja Raya Negeri Terengganu,"Tingkat 12, Wisma Negeri, Jalan Pejabat, 20200 Kuala Terengganu, Terengganu.",09-622 2444,09-623 5624,jkr@terengganu.gov.my,http://www.jkr.terengganu.gov.my/v2/,,,,,,,
Jabatan Keselamatan dan Kesihatan Pekerjaan(JKKP),2.937844,101.70538,Jabatan Keselamatan dan Kesihatan Pekerjaan (JKKp)adalah jabatan di bawah Kementerian Sumber Manusia.,"Level 2, 3 & 4, Block D3, Complex D Federal Government Administrative Centre 62530 W. P. Putrajaya",03-8000 8000,03-8889 2443,jkkp@mohr.gov.my,http://www.dosh.gov.my,,,,,,,
Jabatan Keselamatan Jalan Raya,2.907601,101.68179,Jabatan Keselamatan Jalan Raya,"Jabatan Keselamatan Jalan Raya Malaysia, Aras 3, Galeria PJH, Jalan P4W, Persiaran Perdana, 62100 Presint 4, Putrajaya.",03-8323 8000,03-8888 8806,jkjr_webmaster@jkjr.gov.my,http://www.jkjr.gov.my,,,,,,,
Jabatan Kesihatan Labuan,5.3109549,115.22448529999997,Jabatan Kesihatan Labuan,"Jabatan Kesihatan Negeri, Peti Surat 80832, 87018 Wilayah Persekutuan Labuan.",087-596 000,087-411 298,jkwplabuan@moh.gov.my,http://jknlabuan.moh.gov.my,,,,,,,
Jabatan Kesihatan Negeri Johor,1.460251,103.758609,Jabatan Kesihatan Negeri Johor,"Jabatan Kesihatan Negeri Johor, Tingkat 3 & 5, Blok B, Wisma Persekutuan, Jalan Air Molek, 80590 Johor Bahru, Johor.",07-224 5180/5188,07-224 7361,jknjohor@moh.gov.my,http://jknjohor.moh.gov.my,,,,,,,
Jabatan Kesihatan Negeri Kedah,6.095974,100.360668,Jabatan Kesihatan Negeri Kedah,"Jabatan Kesihatan Negeri Kedah, Simpang Kuala, Jalan Kuala Kedah, 05400 Alor Setar, Kedah Darul Aman.",04-774 1000,04-774 1030,webkdh@kdh.moh.gov.my,http://jknkedah.moh.gov.my/v3/,,,,,,,
Jabatan Kesihatan Negeri Kelantan,6.120799,102.253654,Jabatan Kesihatan Negeri Kelantan,"Aras 5, Wisma Persekutuan Kota Bharu, Jalan Bayam, 15590 Kota Bharu, Kelantan.",09-741 3300,09-744 1333,jknk@klt.moh.gov.my,http://jknkelantan.moh.gov.my,,,,,,,
Jabatan kesihatan Negeri Melaka,2.273362,102.28815199999997,Jabatan kesihatan Negeri Melaka,"Jabatan Kesihatan Negeri Melaka, Aras 5, Wisma Persekutuan, Jalan Business City, Bandar MITC, 75450 Ayer Keroh, Hang Tuah Jaya, Melaka.",06-234 5959,06-234 5951,jkesihatan@mlk.moh.gov.my,http://jknmelaka.moh.gov.my,,,,,,,
Jabatan Kesihatan Negeri Pahang,3.8192895,103.29232320000006,Jabatan Kesihatan Negeri Pahang,"Jabatan Kesihatan Negeri Pahang, Jalan IM4, Bandar Indera Mahkota, 25582 Kuantan, Pahang Darul Makmur.",09-570 7999,09-570 7798,webmaster.phg@phg.moh.gov.my,http://jknpahang.moh.gov.my/v3/html/default.php,,,,,,,
Jabatan Kesihatan Negeri Perak,4.602092,101.073475,Jabatan Kesihatan Negeri Perak,"Jabatan Kesihatan Negeri Perak, Jalan Panglima Bukit Gantang Wahab, 30590 Ipoh, Perak Darul Ridzuan.",05-249 0200/201/202,05-243 8090,jknperak@prk.moh.gov.my,http://jknperak.moh.gov.my,,,,,,,
Jabatan Kesihatan Negeri Perlis,6.448365,100.202665,Jabatan Kesihatan Negeri Perlis,"Jabatan Kesihatan Negeri Perlis, Jalan Raja Syed Alwi, 01000 Kangar, Perlis.",04-977 3333,04-976 0764,jknperlis@pls.moh.gov.my,http://jknperlis.moh.gov.my,,,,,,,
Jabatan Kesihatan Negeri Pulau Pinang,5.429402,100.327721,Jabatan Kesihatan Negeri Pulau Pinang,"Tingkat 35, 37 & 56, Menara Komtar, 10590 Pulau Pinang",04-262 5533,04-26133508,-,http://jknpenang.moh.gov.my/,,,,,,,
Jabatan Kesihatan Negeri Sabah,5.957241,116.06636700000001,Jabatan Kesihatan Negeri Sabah,"Jabatan Kesihatan Negeri Sabah, Tingkat 1, 3 & 6, Rumah Persekutuan, Jalan Mat Salleh, 88590 Kota Kinabalu, Sabah.","088-265 960 , 088-512 555",088-221 477,aduanjknsbh@sbh.moh.gov.my,http://jknsabah.moh.gov.my,,,,,,,
Jabatan Kesihatan Negeri Sarawak,1.911267,110.377807,Jabatan Kesihatan Negeri Sarawak,"Jabatan Kesihatan Negeri Sarawak, Jalan Diplomatik, Off Jalan Bako, 93050 Kuching, Sarawak.",082-473 200,082-443 031,sarawakhealth@srwk.gov.my,http://jknsarawak.moh.gov.my,,,,,,,
Jabatan Kesihatan Negeri Selangor,3.12269,101.529922,Jabatan Kesihatan Negeri Selangor,"Jabatan Kesihatan Negeri Selangor, Tingkat 9, 10, 11 & 17, No.1 Wisma Sunway, Jalan Tengku Ampuan Zabedah C 9/C, Seksyen 9, 40100 Shah Alam, Selangor.",03-5123 7333/334/335,03-5123 7209,websel@moh.gov.my,http://www.jknselangor.moh.gov.my,,,,,,,
Jabatan Kesihatan Negeri Sembilan,2.752389,101.93367,Jabatan Kesihatan Negeri Sembilan,"Jabatan Kesihatan Negeri Sembilan, Jalan Rasah, 73000 Seremban, Negeri Sembilan Darul Khusus.",06-766 4800,06-763 8543,-,http://jknns.moh.gov.my/,https://www.facebook.com/pages/JKNNS/258606756358,,,,,,
Jabatan Kesihatan Negeri Terengganu,5.3280428,103.14244180000003,Jabatan Kesihatan Negeri Terengganu,"Jabatan Kesihatan Negeri Terengganu, Tingkat 5, Wisma Persekutuan, Jalan Sultan Ismail, 20920 Kuala Terengganu, Terengganu.",09-622 2866,09-624 8367,tanya_jknt@trg.moh.gov.my,http://jknterengganu.moh.gov.my/,,,,,,,
Jabatan Kesihatan Wilayah Persekutuan Kuala Lumpur Dan Putrajaya,3.144248,101.69109100000003,Jabatan Kesihatan Wilayah Persekutuan Kuala Lumpur,"Jabatan Kesihatan Wilayah Persekutuan Kuala Lumpur, Jalan Cenderasari, 50590 Kuala Lumpur.",03-2268 7333,03-2268 7555,webmasterkl@wp.moh.gov.my,http://jknkl.moh.gov.my,,,,,,,
Jabatan Ketua Menteri,1.596746,110.33386029999997,Jabatan Ketua Menteri,"Wisma Bapa Malaysia, 93502 Petra Jaya, Sarawak.",082-441 957,082 - 449 002,jkm@sarawaknet.gov.my,http://www.jkm.sarawak.gov.my/,,,,,,,
Jabatan Ketua Menteri Melaka,2.202099,102.24632700000006,Jabatan Ketua Menteri Melaka,"Aras 11, Menara MITC ( PKNM), Jalan Konvensyen, Kompleks MITC, Hang Tuah Jaya, Ayer Keroh, 75450 Melaka",606 230 7202,606 232 8330,noorazlina.y@melaka.gov.my,-,,,,,,,
Jabatan Ketua Menteri Sabah,6.017269499999999,116.1097598,Jabatan Ketua Menteri Sabah,"Tingkat 25, Menara Tun Mustapha, 88502 Kota Kinabalu, Sabah, Malaysia",(088) 423111,-,JKM@sabah.gov.my,http://www.sabah.gov.my/jkm/,,,,,,,
Jabatan Ketua Pengarah Tanah Dan Galian (JKPTG),2.926182,101.688619,Jabatan Ketua Pengarah Tanah Dan Galian (JKPTG),"Seksyen Pentadbiran dan Kewangan, Kementerian Sumber Asli dan Alam Sekitar (NRE) Aras 4, Podium 1, Wisma Sumber Asli, No. 25, Persiaran Perdana, Presint 4 62574 PUTRAJAYA, Malaysia",03-8871 2917 / 03-8886 1111,03-8881 0796 / 03-8890 1237,webmaster@jkptg.gov.my,http://www.jkptg.gov.my/,https://www.facebook.com/pages/JABATAN-KETUA-PENGARAH-TANAH-DAN-GALIAN-PERSEKUTUAN/110084079022286,,https://twitter.com/webmaster_jkptg,http://www.jkptg.gov.my/?q=blog,,http://www.jkptg.gov.my/?q=berita-terkini.xml,http://www.youtube.com/JKPTGMedia
Jabatan Kewangan dan Perbendaharaan Melaka,2.205685,102.256155,Jabatan Kewangan dan Perbendaharaan Melaka,"Jabatan Kewangan dan Perbendaharaan Negeri Melaka, Aras 3 & 4, Blok Bentara, Seri Negeri, Hang Tuah Jaya, 75450 Ayer Keroh, Melaka Bandaraya Bersejarah.",06-233 3333,06-232 8580,webjkpnm@melaka.gov.my,http://jkpnm.melaka.gov.my/,,,,,,,
Jabatan Kewangan Negeri Pulau Pinang,5.4142008,100.32961690000002,Jabatan Kewangan Negeri Pulau Pinang,"Jabatan Kewangan Negeri Pulau Pinang, Aras-23, KOMTAR, 10990 George Town, Pulau Pinang.",04-262 3505,04-262 3075,mokhtar@penang.gov.my,http://jkn.penang.gov.my/,https://www.facebook.com/jknpp,,https://twitter.com/#!/jknpp,,,,
Jabatan Kewangan/Perbendaharaan Sarawak,1.577202,110.35078799999997,Jabatan Kewangan/Perbendaharaan Sarawak,"Jabatan Kewangan/Perbendaharaan Sarawak, Tingkat 7-11, Menara Pelita, Jalan Tun Abdul Rahman Yakub, Petra Jaya, 93050 Kuching, Sarawak.",082-440 111,082-447 203,webmaster@treasury.sarawak.gov.my,http://www.treasury.sarawak.gov.my/,,,,,,,
Jabatan Kimia Malaysia,3.100739,101.64490699999999,Jabatan Kimia Malaysia,"Jabatan Kimia Malaysia, Jalan Sultan, Pjs 52, 46661 Petaling Jaya, Selangor.",03-7985 3000,03-7985 3092,-,http://www.kimia.gov.my,,,,,,,
Jabatan Landskap Negara,3.173353,101.692873,Jabatan Landskap Negara,"Jabatan Landskap Negara, Tingkat 7, Plaza Permata (IGB), Jalan Kampar Off Jalan Tun Razak, 50400 Kuala Lumpur.",03-4047 0000,03-4045 2415,kpjln@kpkt.gov.my,http://www.kpkt.gov.my/jln/,https://www.facebook.com/pages/Negara-Taman/203871916303071,,http://twitter.com/#!/NegaraTaman,,,,
Jabatan Latihan Khidmat Negara,3.192734,101.74152,Jabatan Latihan Khidmat Negara,"Jabatan Latihan Khidmat Negara, Level 2 – 5, Bangunan Zetro, Jalan 9/27C, Section 5 Wangsa Maju, 53300 Kuala Lumpur.",03-4027 4000,03-4027 4111,pelanggan@khidmatnegara.com,www.khidmatnegara.gov.my,,,,,,,
Jabatan Laut Malaysia,3.001822,101.391866,Jabatan Laut Malaysia,"Ibu Pejabat Laut, Peti Surat 12, Jalan Limbungan, 42007 Pelabuhan Kelang, Selangor Darul Ehsan.",03-3346 7777,03-3168 5289,khidmatpelanggan@marine.gov.my,http://www.marine.gov.my/jlm/#.UXe5csqcGk8,,,,,,,
Jabatan Meteorologi Malaysia,3.102577,101.644748,Jabatan Meteorologi Malaysia,"Jabatan Meteorologi Malaysia, Jalan Sultan, 46200 Petaling Jaya, Selangor Darul Ehsan.",603-7967 8000,603-77955 0964,mmd@met.gov.my,http://www.met.gov.my/,http://www.facebook.com/malaysiamet,,http://twitter.com/malaysianmet,,,,
Jabatan Mineral Dan Geosains Malaysia,3.170533,101.693086,Jabatan Mineral Dan Geosains Malaysia,"Lantai 20, Bangunan Tabung Haji, Jalan Tun Razak, 50658 Kuala Lumpur, Malaysia",603-2161 1033,603-2161 1036,jmgkll@jmg.gov.my,http://www.jmg.gov.my/,http://www.facebook.com/jmgmalaysia,,http://twitter.com/#!/jmgmalaysia/,http://www.jmg.gov.my/blog/,,http://www.jmg.gov.my/en/website/rss-feed.html,http://www.youtube.com/user/JMGMalaysia
Jabatan Mufti Kerajaan Pulau Pinang,5.414499999999999,100.32920000000001,Jabatan Mufti Kerajaan Pulau Pinang,"Jabatan Mufti Negeri Pulau Pinang Tingkat 48, KOMTAR Pulau Pinang",04-650 5452,04-263 2985,hassan_ahmad@penang.gov.my,http://mufti.penang.gov.my/,,,,,,,
Jabatan Mufti Negeri Johor,1.9343998,103.3587288,Jabatan Mufti Negeri Johor,"Tkt. 3, Blok A, Pusat Islam Iskandar Johor, Jalan Masjid Abu Bakar, Karung Berkunci 725, 80990 Johor Bahru.",07-2263926,07-2230925,muftijohor@johor.gov.my,http://mufti.johordt.gov.my/,,,,,,,
Jabatan Mufti Negeri Kedah,6.119359,100.36769000000004,Jabatan Mufti Negeri Kedah,"Mufti Negeri Kedah, Pejabat Tingkat 6 ,Wisma PKNK, Alor Star, Kedah.",604 - 731 2800,604 - 732 0807,"",http://mufti.kedah.gov.my/,,,,,,,
Jabatan Mufti Negeri Kelantan,6.1097207,102.24620870000001,Jabatan Mufti Negeri Kelantan,"Kompleks Balai Islam, Lundang, Jalan Sultan Yahya Kota Baharu, Kelantan Malaysia",609-748 2023,609-7478170,jabmufti@kelantan.gov.my,http://mufti.kelantan.gov.my/,,,,,,,
Jabatan Mufti Negeri Melaka,2.205685,102.256155,Jabatan Mufti Negeri Melaka,"Jabatan Mufti Negeri Melaka, Kompleks Majlis Agama Islam, Aras 2, Imarah A, 75400 Bukit Palah, Melaka Bandaraya Bersejarah.",06-284 7920/21,06-284 8144,jkmmufti@tm.net.my,http://www.al-azim.com/jmm/,,,,,,,
Jabatan Mufti Negeri Pahang,3.500721,103.39012120000007,Jabatan Mufti Negeri Pahang,"Jabatan Mufti Negeri Pahang, Kompleks Islam Sultan Haji Ahmad Shah, Jalan Istana Permai, 26600 Pekan, Pahang.",09-422 4890,09-422 4887,smufti@pahang.gov.my,http://mufti.pahang.gov.my/,,,,,,,
Jabatan Mufti Negeri Perak,4.601839,101.07655499999998,Jabatan Mufti Negeri Perak,"Tingkat 5 Kompleks Islam Darul Ridzuan Jalan Panglima Bukit Gantang Wahab 30000 Ipoh, Perak.",605 - 254 5332,605 - 241 9694,muftiperak@perak.gov.my,http://mufti.perak.gov.my/,,,,,,,
Jabatan Mufti Negeri Perlis,6.438237,100.191724,Jabatan Mufti Negeri Perlis,"Jabatan Mufti Negeri Perlis, Tingkat 1, Blok A, Bangunan Dato' Mahmud Mat, 01000 Kangar, Perlis.",04-979 4428,04-976 3844,-,http://mufti.perlis.gov.my/,,,,,,,
Jabatan Mufti Negeri Selangor,3.085023,101.522341,Jabatan Mufti Negeri Selangor,"Jabatan Mufti Selangor, Tingkat 7 & 8, Menara Utara, Bangunan Sultan Idris Shah, 40000 Shah Alam, Selangor Darul Ehsan.",03-5514 3738,03-5519 7584,mail@muftiselangor.gov.my,http://www.muftiselangor.gov.my/,,,,,,,
Jabatan Mufti Negeri Sembilan,2.722904,101.94335,Jabatan Mufti Negeri Sembilan,"Jabatan Mufti Kerajaan Negeri Sembilan, Tingkat 3, Bangunan SUK Lama, Jalan Dato' Hamzah, 70990 Seremban, Negeri Sembilan. Tel : 06-7652426 Fax : 06-7652427",06-765 2426,06-765 2427,muftins@ns.gov.my,http://www.muftins.gov.my/,,,,,,,
